Vehicles,Antennas,Iteration,PathLoss,UnlinkedVehicles,UnusedAntennas
100,40,48,123.825,58,15
100,40,49,123.48,39,10
100,40,50,119.741,48,15
100,50,1,120.213,34,10
100,50,2,124.005,30,15
100,50,3,121.015,39,17
100,50,4,123.176,41,22
100,50,5,121.949,40,16
100,50,6,121.056,43,21
100,50,7,122.332,37,15
100,50,8,122.171,47,20
100,50,9,121.708,37,17
100,50,10,121.583,47,19
100,50,11,122.037,42,19
100,50,12,120.896,29,14
100,50,13,120.239,38,16
100,50,14,121.508,37,18
100,50,15,121.296,35,17
100,50,16,120.096,42,17
100,50,17,121.527,34,12
100,50,18,124.186,47,15
100,50,19,121.46,38,16
100,50,20,122.802,33,15
100,50,21,125.231,39,20
100,50,22,123.526,35,15
100,50,23,122.082,42,14
100,50,24,122.568,33,15
100,50,25,121.97,40,14
100,50,26,123.49,42,15
100,50,27,123.321,45,19
100,50,28,121.223,40,19
100,50,29,121.721,38,18
100,50,30,123.417,29,16
100,50,31,122.669,28,12
100,50,32,121.086,42,18
100,50,33,122.551,46,15
100,50,34,119.845,53,21
100,50,35,120.816,36,14
100,50,36,118.812,44,15
100,50,37,123.087,37,15
100,50,38,120.842,32,17
100,50,39,121.947,36,11
100,50,40,119.625,43,16
100,50,41,121.255,47,16
100,50,42,123.548,30,16
100,50,43,122.6,46,21
100,50,44,121.896,47,22
100,50,45,120.649,36,15
100,50,46,121.58,47,18
100,50,47,120.755,39,15
100,50,48,123.2,35,17
100,50,49,119.277,43,19
100,50,50,120.734,44,17
200,10,1,123.384,173,2
200,10,2,123.722,168,2
200,10,3,123.265,163,0
200,10,4,124.477,167,0
200,10,5,121.205,164,0
200,10,6,121.558,173,0
200,10,7,124.331,173,1
200,10,8,124.427,158,1
200,10,9,121.545,172,0
200,10,10,122.827,166,0
200,10,11,123.158,164,1
200,10,12,124.264,164,0
200,10,13,122.983,158,0
200,10,14,121.242,168,0
200,10,15,121.863,169,0
200,10,16,122.775,170,0
200,10,17,122.331,157,1
200,10,18,122.306,170,0
200,10,19,121.272,165,1
200,10,20,123.287,167,1
200,10,21,124.775,157,0
200,10,22,123.602,166,0
200,10,23,123.446,166,0
200,10,24,124.262,167,0
200,10,25,122.609,165,0
200,10,26,124.666,166,0
200,10,27,122.225,163,0
200,10,28,124.504,169,1
200,10,29,121.277,172,1
200,10,30,123.822,168,1
200,10,31,122.595,173,1
200,10,32,125.266,162,1
200,10,33,123.509,169,0
200,10,34,122.627,165,0
200,10,35,123.896,159,1
200,10,36,122.947,167,2
200,10,37,123.186,170,0
200,10,38,124.559,176,2
200,10,39,123.498,154,1
200,10,40,122.57,161,0
200,10,41,123.015,169,0
200,10,42,121.426,157,0
200,10,43,122.602,162,0
200,10,44,125.46,170,2
200,10,45,121.608,163,1
200,10,46,121.959,160,0
200,10,47,126.044,167,0
200,10,48,122.311,154,0
200,10,49,123.836,157,0
200,10,50,123.595,162,0
200,20,1,123.875,139,0
200,20,2,124.756,133,0
200,20,3,123.909,140,0
200,20,4,124.537,142,3
200,20,5,121.171,127,2
200,20,6,122.339,121,0
200,20,7,122.337,142,2
200,20,8,122.29,150,1
200,20,9,123.058,124,3
200,20,10,122.619,134,1
200,20,11,122.496,152,1
200,20,12,125.799,149,3
200,20,13,122.035,130,0
200,20,14,123.006,133,0
200,20,15,124.958,137,1
200,20,16,123.577,127,0
200,20,17,123.465,146,2
200,20,18,121.487,127,0
200,20,19,123.326,138,3
200,20,20,122.813,129,2
200,20,21,123.523,131,1
200,20,22,123.514,147,1
200,20,23,123.756,146,1
200,20,24,122.814,143,1
200,20,25,122.755,149,1
200,20,26,123.581,144,1
200,20,27,122.057,134,0
200,20,28,122.224,141,1
200,20,29,122.619,155,3
200,20,30,124.195,140,2
200,20,31,121.27,139,1
200,20,32,120.848,144,4
200,20,33,121.783,139,1
200,20,34,125.163,136,3
200,20,35,125.781,135,1
200,20,36,124.248,137,2
200,20,37,122.355,128,3
200,20,38,121.203,143,0
200,20,39,123.657,136,1
200,20,40,123.849,137,0
200,20,41,123.644,127,1
200,20,42,122.688,146,0
200,20,43,121.149,136,1
200,20,44,121.744,145,1
200,20,45,122.808,129,0
200,20,46,124.588,123,1
200,20,47,123.619,131,0
200,20,48,122.661,139,2
200,20,49,123.92,140,1
200,20,50,121.541,132,0
200,30,1,122.751,111,3
200,30,2,122.183,103,2
200,30,3,123.072,129,6
200,30,4,122.805,129,2
200,30,5,122.69,101,3
200,30,6,122.508,102,2
200,30,7,122.216,116,4
200,30,8,119.649,112,2
200,30,9,123.163,114,1
200,30,10,123.874,116,3
200,30,11,122.668,119,1
200,30,12,121.931,118,3
200,30,13,122.249,98,3
200,30,14,121.312,115,1
200,30,15,122.211,111,0
200,30,16,122.498,102,5
200,30,17,122.742,124,0
200,30,18,123.558,108,0
200,30,19,120.383,110,3
200,30,20,124.495,96,2
200,30,21,121.629,128,3
200,30,22,120.747,108,1
200,30,23,122.841,107,2
200,30,24,123.615,111,1
200,30,25,123.631,120,1
200,30,26,120.635,94,2
200,30,27,122.171,118,2
200,30,28,123.618,105,1
200,30,29,123.874,112,3
200,30,30,123.514,111,3
200,30,31,121.597,114,3
200,30,32,122.312,98,0
200,30,33,120.708,116,2
200,30,34,124.551,112,6
200,30,35,122.053,122,3
200,30,36,122.816,119,2
200,30,37,122.317,111,1
200,30,38,123.521,116,3
200,30,39,123.724,116,3
200,30,40,123.178,121,3
200,30,41,123.44,115,2
200,30,42,122.673,111,2
200,30,43,122.528,108,0
200,30,44,122.362,126,3
200,30,45,123.114,125,3
200,30,46,122.059,102,3
200,30,47,122.997,108,1
200,30,48,121.671,110,3
200,30,49,123.515,135,3
200,30,50,121.956,128,4
200,40,1,120.336,91,1
200,40,2,121.221,105,4
200,40,3,121.771,95,7
200,40,4,121.866,94,3
200,40,5,121.118,110,5
200,40,6,123.4,93,4
200,40,7,121.235,86,4
200,40,8,121.242,93,4
200,40,9,121.485,102,3
200,40,10,122.338,83,4
200,40,11,121.311,105,5
200,40,12,121.827,77,3
200,40,13,123.036,109,3
200,40,14,121.854,73,4
200,40,15,121.759,102,4
200,40,16,122.364,90,4
200,40,17,120.819,95,5
200,40,18,122.03,104,3
200,40,19,121.618,94,3
200,40,20,121.875,96,0
200,40,21,121.462,107,3
200,40,22,121.324,101,5
200,40,23,121.259,85,6
200,40,24,121.189,99,6
200,40,25,122.405,89,2
200,40,26,121.958,98,3
200,40,27,122.542,105,3
200,40,28,122.493,100,6
200,40,29,121.495,96,4
200,40,30,122.623,85,2
200,40,31,121.45,91,4
200,40,32,122.619,82,2
200,40,33,123.811,96,6
200,40,34,121.954,87,3
200,40,35,121.081,108,5
200,40,36,122.478,81,5
200,40,37,122.694,113,3
200,40,38,122.196,87,4
200,40,39,121.017,104,7
200,40,40,122.74,100,4
200,40,41,121.663,94,6
200,40,42,122.385,97,3
200,40,43,122.442,83,1
200,40,44,121.803,98,5
200,40,45,122.759,98,2
200,40,46,122.082,87,3
200,40,47,122.333,103,4
200,40,48,123.902,98,4
200,40,49,120.919,103,5
200,40,50,122.438,94,4
200,50,1,120.692,81,4
200,50,2,122.587,75,4
200,50,3,120.223,82,7
200,50,4,121.52,73,8
200,50,5,122.241,71,5
200,50,6,121.078,76,5
200,50,7,122.099,72,2
200,50,8,120.552,64,8
200,50,9,120.533,82,8
200,50,10,120.94,74,5
200,50,11,121.013,80,7
200,50,12,120.469,81,6
200,50,13,120.584,80,5
200,50,14,121.59,76,3
200,50,15,121.149,80,9
200,50,16,121.255,81,7
200,50,17,121.367,74,9
200,50,18,121.149,94,6
200,50,19,120.666,79,6
200,50,20,121.668,77,4
200,50,21,119.697,75,7
200,50,22,120.103,76,6
200,50,23,123.22,79,5
200,50,24,122.745,76,2
200,50,25,121.869,67,5
200,50,26,121.535,68,4
200,50,27,119.516,77,3
200,50,28,120.322,88,10
200,50,29,123.094,81,6
200,50,30,121.703,69,7
200,50,31,122.401,81,8
200,50,32,121.913,74,3
200,50,33,122.122,85,6
200,50,34,122.579,83,8
200,50,35,121.205,65,7
200,50,36,121.062,79,5
200,50,37,121.605,87,7
200,50,38,121.004,67,3
200,50,39,121.577,93,6
200,50,40,123.01,90,8
200,50,41,122.29,80,8
200,50,42,120.553,59,4
200,50,43,121.717,76,6
200,50,44,121.765,62,4
200,50,45,121.888,85,7
200,50,46,122.802,88,6
200,50,47,121.893,83,8
200,50,48,120.891,73,3
200,50,49,122.325,67,5
200,50,50,119.722,80,6
300,10,1,122.923,254,0
300,10,2,124.037,244,0
300,10,3,122.321,255,0
300,10,4,123.931,242,0
300,10,5,122.5,236,0
300,10,6,123.494,237,0
300,10,7,122.897,248,0
300,10,8,122.88,231,0
300,10,9,124.514,263,0
300,10,10,123.588,244,0
300,10,11,123.357,252,0
300,10,12,123.605,257,0
300,10,13,122.087,252,0
300,10,14,121.385,264,0
300,10,15,124.688,256,0
300,10,16,122.944,253,0
300,10,17,123.063,246,0
300,10,18,122.565,266,1
300,10,19,122.616,240,0
300,10,20,121.76,255,0
300,10,21,123.858,252,0
300,10,22,122.935,247,0
300,10,23,123.216,245,0
300,10,24,125.237,246,1
300,10,25,122.654,238,0
300,10,26,122.925,237,0
300,10,27,123.734,265,2
300,10,28,123.838,244,0
300,10,29,124.176,250,0
300,10,30,123.884,244,0
300,10,31,122.734,253,0
300,10,32,123.6,251,0
300,10,33,123.076,247,0
300,10,34,124.735,248,0
300,10,35,122.395,243,0
300,10,36,122.452,249,0
300,10,37,122.854,252,0
300,10,38,123.165,260,1
300,10,39,121.187,238,0
300,10,40,124.638,240,0
300,10,41,122.177,235,1
300,10,42,122.236,254,0
300,10,43,122.937,239,0
300,10,44,124.168,247,0
300,10,45,123.562,260,0
300,10,46,122.107,235,0
300,10,47,122.46,257,0
300,10,48,122.895,247,0
300,10,49,122.441,249,1
300,10,50,124.854,251,0
300,20,1,122.876,201,1
300,20,2,123.34,201,0
300,20,3,122.587,185,0
300,20,4,122.528,197,0
300,20,5,123.947,192,0
300,20,6,122.693,208,0
300,20,7,122.965,205,0
300,20,8,123.285,222,0
300,20,9,121.607,223,1
300,20,10,122.144,210,0
300,20,11,123.043,205,1
300,20,12,123.305,197,0
300,20,13,123.553,198,0
300,20,14,123.175,197,1
300,20,15,123.061,218,1
300,20,16,123.619,210,0
300,20,17,122.721,205,1
300,20,18,122.695,199,0
300,20,19,121.62,216,3
300,20,20,123.008,216,1
300,20,21,124.798,195,0
300,20,22,122.654,196,0
300,20,23,124.347,219,1
300,20,24,123.447,213,1
300,20,25,122.59,190,0
300,20,26,121.647,202,0
300,20,27,122.417,212,0
300,20,28,122.997,185,0
300,20,29,121.696,201,0
300,20,30,121.613,192,0
300,20,31,123.004,194,0
300,20,32,123.019,212,0
300,20,33,121.475,216,0
300,20,34,121.267,210,0
300,20,35,122.135,213,0
300,20,36,123.324,193,0
300,20,37,122.628,189,0
300,20,38,122.454,202,1
300,20,39,121.134,209,1
300,20,40,125.134,200,2
300,20,41,122.822,200,0
300,20,42,122.049,214,1
300,20,43,121.704,206,0
300,20,44,124.035,228,1
300,20,45,123.744,201,2
300,20,46,121.628,204,0
300,20,47,121.67,195,1
300,20,48,122.298,207,0
300,20,49,123.299,226,2
300,20,50,124.278,214,1
300,30,1,122.481,153,0
300,30,2,123.003,179,2
300,30,3,122.42,167,0
300,30,4,121.782,167,0
300,30,5,121.596,185,1
300,30,6,123.176,164,1
300,30,7,121.824,165,0
300,30,8,121.921,177,1
300,30,9,122.053,176,0
300,30,10,121.91,171,1
300,30,11,123.793,180,0
300,30,12,121.613,168,0
300,30,13,122.327,185,1
300,30,14,122.626,195,1
300,30,15,122.689,186,2
300,30,16,123.444,162,0
300,30,17,123.094,170,2
300,30,18,121.094,160,1
300,30,19,122.585,187,1
300,30,20,122.995,165,0
300,30,21,121.307,174,2
300,30,22,123.169,175,0
300,30,23,122.343,185,2
300,30,24,123.367,185,2
300,30,25,123.419,193,3
300,30,26,121.129,158,2
300,30,27,122.819,173,1
300,30,28,122.946,149,0
300,30,29,124.193,167,1
300,30,30,120.712,194,2
300,30,31,121.7,163,0
300,30,32,121.167,170,0
300,30,33,121.386,158,1
300,30,34,122.172,180,2
300,30,35,122.093,170,0
300,30,36,123.731,161,0
300,30,37,123.375,141,0
300,30,38,123.527,179,2
300,30,39,122.048,166,0
300,30,40,123.403,170,1
300,30,41,123.294,156,0
300,30,42,122.386,158,0
300,30,43,123.159,200,3
300,30,44,122.033,163,1
300,30,45,123.075,152,2
300,30,46,124.084,199,2
300,30,47,122.209,161,0
300,30,48,122.874,167,0
300,30,49,122.285,161,2
300,30,50,120.958,184,1
300,40,1,123.102,147,5
300,40,2,122.535,158,2
300,40,3,122.404,156,3
300,40,4,122.148,156,2
300,40,5,122.535,152,2
300,40,6,121.494,127,1
300,40,7,122.071,141,2
300,40,8,123.256,135,2
300,40,9,121.315,130,1
300,40,10,122.152,152,3
300,40,11,122.373,129,1
300,40,12,122.416,136,2
300,40,13,123.469,137,2
300,40,14,121.865,127,1
300,40,15,121.056,148,0
300,40,16,120.942,139,2
300,40,17,120.35,163,0
300,40,18,122.547,136,2
300,40,19,120.953,140,3
300,40,20,121.284,159,4
300,40,21,122.844,155,1
300,40,22,121.934,144,3
300,40,23,121.381,144,0
300,40,24,122.84,149,0
300,40,25,123.803,145,3
300,40,26,120.92,141,1
300,40,27,121.829,137,2
300,40,28,123.358,141,1
300,40,29,121.666,145,0
300,40,30,123.318,140,0
300,40,31,121.845,136,0
300,40,32,121.969,142,3
300,40,33,122.018,115,0
300,40,34,122.372,133,2
300,40,35,122.446,145,4
300,40,36,121.614,138,2
300,40,37,122.475,158,2
300,40,38,121.728,151,0
300,40,39,122.984,123,1
300,40,40,122.989,130,1
300,40,41,122.281,139,4
300,40,42,121.632,149,2
300,40,43,121.869,139,1
300,40,44,121.071,144,1
300,40,45,121.968,132,2
300,40,46,121.351,126,1
300,40,47,120.776,154,1
300,40,48,122.758,142,3
300,40,49,123.86,135,2
300,40,50,123.787,161,3
300,50,1,123.467,120,4
300,50,2,120.762,125,1
300,50,3,121.283,109,2
300,50,4,122.017,114,3
300,50,5,122.954,119,4
300,50,6,122.721,136,5
300,50,7,121.848,131,2
300,50,8,122.088,111,2
300,50,9,122.618,110,3
300,50,10,122.458,99,1
300,50,11,121.853,119,3
300,50,12,121.641,119,3
300,50,13,121.173,109,0
300,50,14,121.281,119,4
300,50,15,122.245,119,2
300,50,16,121.747,109,2
300,50,17,121.786,127,3
300,50,18,122.198,117,3
300,50,19,122.072,115,3
300,50,20,121.203,111,1
300,50,21,122.816,127,1
300,50,22,120.044,121,2
300,50,23,121.275,125,6
300,50,24,122.185,126,0
300,50,25,122.356,103,1
300,50,26,121.618,125,1
300,50,27,121.679,121,0
300,50,28,121.78,125,2
300,50,29,121.516,91,1
300,50,30,122.437,114,5
300,50,31,122.095,118,4
300,50,32,121.443,129,4
300,50,33,120.355,130,2
300,50,34,121.278,128,3
300,50,35,121.188,144,3
300,50,36,122.692,135,6
300,50,37,121.402,125,5
300,50,38,123.408,120,1
300,50,39,121.472,126,1
300,50,40,121.173,126,6
300,50,41,122.045,132,3
300,50,42,121.449,106,3
300,50,43,121.325,112,1
300,50,44,121.43,102,1
300,50,45,122.453,141,4
300,50,46,121.33,130,4
300,50,47,121.6,118,4
300,50,48,123.037,105,4
300,50,49,122.599,102,2
300,50,50,122.085,124,3
400,10,1,125.398,316,0
400,10,2,123.653,330,0
400,10,3,125.445,339,0
400,10,4,124.888,318,0
400,10,5,124.363,334,0
400,10,6,123.309,307,0
400,10,7,123.181,318,0
400,10,8,123.075,315,0
400,10,9,123.142,333,0
400,10,10,122.773,339,0
400,10,11,123.614,319,0
400,10,12,122.008,332,0
400,10,13,123.1,349,0
400,10,14,122.632,321,0
400,10,15,122.355,330,0
400,10,16,121.842,328,0
400,10,17,124.604,334,0
400,10,18,122.482,335,0
400,10,19,122.312,328,0
400,10,20,124.258,322,0
400,10,21,123.375,332,0
400,10,22,121.833,340,0
400,10,23,123.487,334,0
400,10,24,121.534,331,0
400,10,25,122.192,331,0
400,10,26,123.094,350,1
400,10,27,123.964,347,0
400,10,28,125.347,326,0
400,10,29,123.579,335,0
400,10,30,124.825,328,0
400,10,31,121.358,331,0
400,10,32,123.275,327,0
400,10,33,122.416,337,0
400,10,34,121.576,343,0
400,10,35,123.629,320,0
400,10,36,123.26,325,0
400,10,37,122.609,336,0
400,10,38,121.375,335,0
400,10,39,123.246,310,0
400,10,40,122.248,334,0
400,10,41,121.895,325,0
400,10,42,122.404,322,0
400,10,43,124.13,333,0
400,10,44,123.399,322,0
400,10,45,124.313,318,0
400,10,46,123.389,335,0
400,10,47,123.213,326,0
400,10,48,122.187,331,0
400,10,49,124.606,319,0
400,10,50,124.428,334,0
400,20,1,122.884,273,0
400,20,2,124.867,284,0
400,20,3,121.827,269,1
400,20,4,123.835,275,0
400,20,5,121.983,280,0
400,20,6,123.002,268,0
400,20,7,123.288,278,0
400,20,8,123.427,267,0
400,20,9,123.203,266,0
400,20,10,123.317,274,0
400,20,11,123.28,264,0
400,20,12,125.214,253,0
400,20,13,123.18,296,0
400,20,14,124.42,255,0
400,20,15,121.511,280,0
400,20,16,122.745,269,0
400,20,17,121.029,279,0
400,20,18,123.034,278,0
400,20,19,124.26,288,0
400,20,20,122.518,286,0
400,20,21,124.033,299,1
400,20,22,121.978,262,0
400,20,23,122.924,304,0
400,20,24,122.858,288,0
400,20,25,122.256,291,0
400,20,26,122.265,271,0
400,20,27,123.633,285,0
400,20,28,123.904,253,0
400,20,29,122.587,255,0
400,20,30,122.126,261,0
400,20,31,123.389,281,0
400,20,32,122.301,286,0
400,20,33,123.027,273,0
400,20,34,122.912,286,1
400,20,35,124.069,271,0
400,20,36,122.987,274,0
400,20,37,123.366,275,0
400,20,38,124.81,267,1
400,20,39,123.614,277,0
400,20,40,124.296,258,0
