Vehicles,Antennas,Iteration,PathLoss,UnlinkedVehicles,UnusedAntennas
100,40,48,123.236,45,9
100,40,49,120.208,44,8
100,40,50,121.632,49,15
100,50,1,121.1,39,13
100,50,2,121.46,36,18
100,50,3,123.471,41,11
100,50,4,121.435,26,12
100,50,5,122.204,41,14
100,50,6,121.427,39,13
100,50,7,122.326,34,15
100,50,8,123.079,32,12
100,50,9,123.638,30,13
100,50,10,121.498,43,18
100,50,11,121.194,39,20
100,50,12,120.26,43,21
100,50,13,122.162,58,25
100,50,14,121.456,36,14
100,50,15,121.483,38,15
100,50,16,121.413,43,18
100,50,17,123.167,38,22
100,50,18,120.689,30,13
100,50,19,121.883,47,20
100,50,20,122.219,38,16
100,50,21,123.054,37,16
100,50,22,122.902,41,16
100,50,23,120.507,37,14
100,50,24,122.274,35,14
100,50,25,120.873,43,18
100,50,26,121.59,47,16
100,50,27,120.886,34,12
100,50,28,123.029,45,18
100,50,29,122.947,43,18
100,50,30,123.121,36,17
100,50,31,122.603,37,15
100,50,32,120.404,36,16
100,50,33,122.568,41,15
100,50,34,122.148,38,17
100,50,35,120.756,43,16
100,50,36,122.717,35,16
100,50,37,123.293,41,19
100,50,38,122.162,41,17
100,50,39,121.178,29,12
100,50,40,120.525,47,20
100,50,41,121.38,42,13
100,50,42,119.481,53,19
100,50,43,120.402,38,16
100,50,44,121.179,38,13
100,50,45,122.793,41,16
100,50,46,121.095,41,17
100,50,47,122.192,40,16
100,50,48,122.794,37,18
100,50,49,122.964,35,16
100,50,50,121.598,30,17
200,10,1,122.141,163,0
200,10,2,120.751,162,1
200,10,3,123.545,162,0
200,10,4,125.844,167,2
200,10,5,123.468,168,1
200,10,6,121.678,172,1
200,10,7,125.488,158,1
200,10,8,122.259,168,1
200,10,9,122.464,171,1
200,10,10,124.596,167,0
200,10,11,122.526,177,0
200,10,12,124.573,167,1
200,10,13,123.888,160,0
200,10,14,125.593,167,1
200,10,15,124.421,171,1
200,10,16,121.138,163,1
200,10,17,125.176,173,1
200,10,18,122.917,183,3
200,10,19,123.167,154,0
200,10,20,124.034,159,0
200,10,21,121.383,170,0
200,10,22,120.688,165,0
200,10,23,122.351,152,0
200,10,24,123.508,155,0
200,10,25,122.4,163,0
200,10,26,121.521,164,0
200,10,27,120.663,169,2
200,10,28,123.198,163,0
200,10,29,123.022,167,0
200,10,30,123.456,161,0
200,10,31,121.011,178,1
200,10,32,121.709,162,0
200,10,33,122.818,163,1
200,10,34,126.424,177,3
200,10,35,124.499,172,0
200,10,36,122.97,170,1
200,10,37,126.686,165,1
200,10,38,121.88,162,1
200,10,39,123.49,151,0
200,10,40,122.012,159,0
200,10,41,123.798,170,1
200,10,42,125.48,168,1
200,10,43,124.397,169,0
200,10,44,121.746,165,0
200,10,45,123.01,169,1
200,10,46,122.306,178,2
200,10,47,123.551,159,0
200,10,48,123.278,169,0
200,10,49,123.218,168,0
200,10,50,125.259,165,0
200,20,1,122.416,141,2
200,20,2,122.9,140,1
200,20,3,121.707,134,1
200,20,4,124.784,136,0
200,20,5,122.603,144,0
200,20,6,123.04,144,2
200,20,7,123.468,145,0
200,20,8,121.344,138,1
200,20,9,122.426,137,0
200,20,10,122.62,136,0
200,20,11,123.595,127,0
200,20,12,124.219,133,2
200,20,13,123.117,138,2
200,20,14,124.263,127,0
200,20,15,122.774,141,2
200,20,16,122.889,139,0
200,20,17,122.138,136,1
200,20,18,121.366,138,1
200,20,19,121.076,139,2
200,20,20,122.246,140,0
200,20,21,123.356,142,1
200,20,22,122.425,128,0
200,20,23,124.176,141,0
200,20,24,120.484,144,1
200,20,25,122.127,135,0
200,20,26,121.176,137,1
200,20,27,122.664,140,1
200,20,28,123.305,142,0
200,20,29,124.326,147,2
200,20,30,122.732,138,0
200,20,31,123.323,127,0
200,20,32,124.328,137,1
200,20,33,122.252,138,0
200,20,34,121.414,142,0
200,20,35,122.897,148,5
200,20,36,123.098,134,2
200,20,37,122.105,140,3
200,20,38,122.959,145,1
200,20,39,122.738,143,0
200,20,40,122.77,133,0
200,20,41,121.695,143,3
200,20,42,122.457,148,1
200,20,43,122.208,153,3
200,20,44,122.349,132,1
200,20,45,120.146,140,0
200,20,46,123.099,145,2
200,20,47,122.463,150,2
200,20,48,123.275,147,1
200,20,49,123.814,139,0
200,20,50,122.825,155,4
200,30,1,122.933,119,3
200,30,2,124.425,110,1
200,30,3,122.958,105,1
200,30,4,120.762,121,0
200,30,5,124.295,119,4
200,30,6,121.857,99,1
200,30,7,121.685,119,0
200,30,8,122.299,110,2
200,30,9,121.431,125,4
200,30,10,122.043,111,1
200,30,11,123.065,114,1
200,30,12,123.689,121,4
200,30,13,123.009,114,1
200,30,14,123.597,107,2
200,30,15,120.328,127,4
200,30,16,123.326,118,4
200,30,17,122.327,116,2
200,30,18,121.524,116,1
200,30,19,121.088,108,3
200,30,20,123.599,118,1
200,30,21,123.641,106,2
200,30,22,122.663,111,2
200,30,23,124.346,106,1
200,30,24,123.822,119,4
200,30,25,122.172,124,3
200,30,26,123.016,100,2
200,30,27,123.179,110,0
200,30,28,122.645,121,3
200,30,29,122.479,126,7
200,30,30,123.671,101,1
200,30,31,121.45,111,2
200,30,32,122.636,120,3
200,30,33,120.207,106,2
200,30,34,121.593,114,3
200,30,35,124.733,112,4
200,30,36,122.445,99,2
200,30,37,123.287,111,3
200,30,38,121.795,121,3
200,30,39,121.03,105,1
200,30,40,121.767,119,4
200,30,41,121.549,127,3
200,30,42,124.537,117,3
